DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361122928,1655361122930,4,1655361122930,43,4,5,0,0,0
DEVICE,1655361122959,1655361122961,4,1655361122961,43,4,5,0,0,0
DEVICE,1655361122991,1655361122993,4,1655361122993,45,4,5,0,0,0
DEVICE,1655361123024,1655361123026,4,1655361123026,44,4,5,0,0,0
DEVICE,1655361123055,1655361123057,4,1655361123057,42,4,5,0,0,0
DEVICE,1655361123071,1655361123073,4,1655361123073,42,4,5,0,0,0
DEVICE,1655361123104,1655361123106,4,1655361123106,42,4,5,0,0,0
DEVICE,1655361123136,1655361123138,4,1655361123138,43,4,5,0,0,0
DEVICE,1655361123167,1655361123169,4,1655361123169,43,4,5,0,0,0
DEVICE,1655361123200,1655361123202,4,1655361123202,43,4,5,0,0,0
DEVICE,1655361123231,1655361123233,4,1655361123233,41,4,5,0,0,0
DEVICE,1655361123263,1655361123265,4,1655361123265,42,4,5,0,0,0
DEVICE,1655361123295,1655361123297,4,1655361123297,41,4,5,0,0,0
DEVICE,1655361123327,1655361123329,4,1655361123329,41,4,5,0,0,0
DEVICE,1655361123359,1655361123361,4,1655361123361,40,4,5,0,0,0
DEVICE,1655361123392,1655361123394,4,1655361123394,42,4,5,0,0,0
DEVICE,1655361123424,1655361123426,4,1655361123426,44,4,5,0,0,0
DEVICE,1655361123455,1655361123457,4,1655361123457,41,4,5,0,0,0
DEVICE,1655361123487,1655361123489,4,1655361123489,43,4,5,0,0,0
DEVICE,1655361123520,1655361123522,4,1655361123522,44,4,5,0,0,0
DEVICE,1655361123551,1655361123553,4,1655361123553,41,4,5,0,0,0
DEVICE,1655361123583,1655361123585,4,1655361123585,43,4,5,0,0,0
DEVICE,1655361123615,1655361123617,4,1655361123617,43,4,5,0,0,0
DEVICE,1655361123647,1655361123649,4,1655361123649,40,4,5,0,0,0
DEVICE,1655361123679,1655361123681,4,1655361123681,42,4,5,0,0,0
DEVICE,1655361123711,1655361123713,4,1655361123713,44,4,5,0,0,0
DEVICE,1655361123743,1655361123745,4,1655361123745,43,4,5,0,0,0
