1,659,602,936,253,0.002,-0.001,-0.001,0.020,0.013,-0.065
1,659,602,936,255,-0.001,0.000,0.000,-0.006,0.016,-0.110
1,659,602,936,265,-0.000,-0.000,-0.000,0.028,0.002,-0.055
1,659,602,936,275,0.001,-0.001,-0.001,0.004,0.011,-0.091
1,659,602,936,285,0.000,-0.000,-0.000,0.007,0.000,-0.079
1,659,602,936,295,0.002,0.001,0.001,0.014,0.011,-0.066
1,659,602,936,305,-0.000,0.000,0.000,0.005,0.011,-0.092
1,659,602,936,315,-0.000,-0.002,-0.002,0.026,0.005,-0.058
1,659,602,936,325,0.000,-0.001,-0.001,0.003,0.014,-0.085
1,659,602,936,335,-0.000,-0.002,-0.002,0.010,0.015,-0.074
1,659,602,936,345,0.000,0.001,0.001,0.009,0.009,-0.083
1,659,602,936,355,-0.003,0.001,0.001,0.005,0.014,-0.080
1,659,602,936,365,0.000,0.001,0.001,0.004,0.018,-0.084
1,659,602,936,375,-0.000,0.000,0.000,-0.002,0.007,-0.078
1,659,602,936,385,0.001,0.002,0.002,0.011,0.007,-0.071
1,659,602,936,395,0.001,0.002,0.002,0.015,0.009,-0.083
1,659,602,936,404,0.001,-0.000,-0.000,0.011,0.008,-0.081
1,659,602,936,414,0.001,0.001,0.001,0.013,0.010,-0.082
1,659,602,936,424,0.003,-0.002,-0.002,0.011,0.010,-0.087
1,659,602,936,434,0.001,-0.001,-0.001,0.002,0.007,-0.078
1,659,602,936,444,-0.002,0.000,0.000,0.010,0.011,-0.090
1,659,602,936,454,-0.003,-0.001,-0.001,0.006,0.003,-0.079
1,659,602,936,465,-0.005,0.001,0.001,0.010,0.012,-0.083
1,659,602,936,474,-0.003,-0.001,-0.001,0.009,0.013,-0.081
1,659,602,936,484,0.001,-0.001,-0.001,0.018,0.010,-0.072
1,659,602,936,494,-0.000,0.000,0.000,0.016,0.013,-0.090
1,659,602,936,504,-0.001,-0.003,-0.003,0.010,0.009,-0.081
1,659,602,936,516,0.001,0.000,0.000,0.012,0.003,-0.089
1,659,602,936,524,-0.001,0.001,0.001,0.012,0.010,-0.088
1,659,602,936,534,0.002,-0.002,-0.002,0.015,0.009,-0.089
1,659,602,936,544,-0.002,-0.001,-0.001,0.013,0.006,-0.079
1,659,602,936,554,0.001,-0.001,-0.001,0.016,0.011,-0.085
1,659,602,936,567,-0.002,0.003,0.003,0.004,0.014,-0.081
1,659,602,936,574,-0.002,0.001,0.001,0.001,0.010,-0.081
1,659,602,936,584,0.001,-0.000,-0.000,0.015,0.004,-0.080
1,659,602,936,593,-0.000,0.000,0.000,0.016,0.002,-0.074
1,659,602,936,604,0.001,0.000,0.000,0.013,0.003,-0.077
1,659,602,936,613,0.001,0.002,0.002,0.020,0.005,-0.090
1,659,602,936,623,-0.001,0.001,0.001,0.024,0.012,-0.079
1,659,602,936,633,-0.001,0.001,0.001,0.017,0.006,-0.081
1,659,602,936,643,0.001,0.000,0.000,0.019,0.007,-0.080
1,659,602,936,653,0.002,0.001,0.001,0.000,0.008,-0.090
1,659,602,936,663,-0.002,-0.000,-0.000,0.006,0.003,-0.072
1,659,602,936,673,0.001,-0.001,-0.001,0.007,0.008,-0.078
1,659,602,936,683,-0.003,-0.001,-0.001,0.008,0.011,-0.080
1,659,602,936,693,-0.002,0.003,0.003,0.013,0.001,-0.078
1,659,602,936,703,0.004,0.001,0.001,0.015,0.004,-0.081
1,659,602,936,713,0.001,-0.001,-0.001,0.017,0.008,-0.082
1,659,602,936,723,-0.001,-0.000,-0.000,0.006,0.010,-0.085
1,659,602,936,733,-0.000,0.000,0.000,0.012,0.005,-0.065
1,659,602,936,743,-0.002,-0.001,-0.001,0.010,0.006,-0.080
1,659,602,936,755,-0.001,-0.001,-0.001,0.011,0.006,-0.093
1,659,602,936,763,0.001,-0.002,-0.002,0.011,0.011,-0.079
1,659,602,936,773,-0.001,0.002,0.002,0.010,0.008,-0.089
1,659,602,936,784,-0.001,0.001,0.001,0.014,0.008,-0.089
1,659,602,936,792,0.000,0.001,0.001,0.005,0.015,-0.096
1,659,602,936,803,0.000,-0.004,-0.004,0.017,0.009,-0.077
1,659,602,936,812,0.001,-0.001,-0.001,0.016,0.003,-0.066
1,659,602,936,822,-0.002,-0.001,-0.001,0.004,0.002,-0.100
1,659,602,936,833,-0.000,0.000,0.000,0.006,0.002,-0.077
1,659,602,936,843,0.000,0.001,0.001,0.011,0.003,-0.077
1,659,602,936,852,0.001,-0.000,-0.000,0.008,0.005,-0.086
1,659,602,936,862,0.002,0.001,0.001,0.016,0.003,-0.077
1,659,602,936,872,-0.001,-0.001,-0.001,0.007,0.017,-0.082
1,659,602,936,888,0.037,0.017,0.017,0.010,0.010,-0.082
1,659,602,936,892,-0.039,-0.018,-0.018,0.096,0.043,-0.245
1,659,602,936,902,0.009,0.005,0.005,-0.164,-0.068,0.233
1,659,602,936,912,-0.009,-0.006,-0.006,0.125,0.052,-0.297
