Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642672929608,1642672929970,4,1642672929860,-0.024,-0.077,0.048,-0.006,0.014,-0.090,68
WATCH,1642672929608,1642672929970,4,1642672929870,0.074,0.097,0.033,-0.048,0.008,-0.129,68
WATCH,1642672929609,1642672929971,4,1642672929880,0.074,0.137,0.011,-0.050,0.014,-0.071,68
WATCH,1642672929609,1642672929971,4,1642672929890,0.069,0.024,-0.043,-0.059,-0.000,-0.012,68
WATCH,1642672929609,1642672929971,4,1642672929900,-0.006,-0.086,-0.134,-0.059,-0.003,0.032,68
WATCH,1642672929688,1642672930050,4,1642672929910,-0.019,-0.108,-0.123,-0.016,-0.006,-0.013,68
WATCH,1642672929688,1642672930050,4,1642672929920,-0.028,-0.144,-0.114,0.034,-0.007,-0.020,68
WATCH,1642672929688,1642672930050,4,1642672929930,-0.056,-0.140,-0.099,0.034,-0.010,-0.003,68
WATCH,1642672929688,1642672930050,4,1642672929940,-0.036,-0.093,-0.058,0.029,-0.012,-0.005,68
WATCH,1642672929688,1642672930050,4,1642672929950,-0.015,-0.012,-0.039,0.014,-0.015,-0.004,68
WATCH,1642672929757,1642672930119,4,1642672929960,0.005,-0.008,-0.037,0.020,-0.009,-0.023,68
WATCH,1642672929757,1642672930119,4,1642672929970,-0.000,-0.072,-0.030,0.022,-0.009,-0.008,68
WATCH,1642672929757,1642672930119,4,1642672929980,-0.009,-0.074,-0.016,0.026,0.006,-0.010,68
WATCH,1642672929757,1642672930119,4,1642672929990,0.022,-0.117,-0.000,0.023,0.000,-0.017,68
WATCH,1642672929757,1642672930119,4,1642672930000,-0.039,-0.158,0.022,0.012,0.016,0.018,68
WATCH,1642672929875,1642672930237,4,1642672930009,-0.115,-0.185,0.039,-0.004,0.018,0.017,68
WATCH,1642672929876,1642672930238,4,1642672930019,-0.156,-0.110,0.037,-0.035,0.017,0.019,68
WATCH,1642672929877,1642672930239,4,1642672930029,-0.240,-0.073,-0.030,-0.076,0.004,0.046,68
WATCH,1642672929877,1642672930239,4,1642672930039,-0.262,0.002,-0.092,-0.054,-0.009,0.024,68
