Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,HeartRate
WATCH,1642571161828,1642571161828,4,1642571161828,-0.030,0.060,0.025,-0.014,-0.000,0.012,71
WATCH,1642571161839,1642571161839,4,1642571161839,0.112,-0.058,0.016,-0.049,-0.018,0.045,71
WATCH,1642571161849,1642571161849,4,1642571161849,-0.133,0.083,-0.039,-0.056,0.020,0.048,71
WATCH,1642571161858,1642571161858,4,1642571161858,-0.177,0.048,-0.024,-0.027,-0.007,-0.017,71
WATCH,1642571161868,1642571161868,4,1642571161868,-0.156,0.116,-0.025,-0.031,0.006,-0.042,71
WATCH,1642571161878,1642571161878,4,1642571161878,-0.003,0.049,-0.021,0.015,-0.008,-0.021,71
WATCH,1642571161888,1642571161888,4,1642571161888,0.035,-0.025,0.007,0.016,0.006,0.024,71
WATCH,1642571161898,1642571161898,4,1642571161898,-0.060,-0.009,0.015,0.008,0.008,0.001,71
WATCH,1642571161908,1642571161908,4,1642571161908,-0.042,0.022,0.029,0.006,0.003,0.002,71
WATCH,1642571161918,1642571161918,4,1642571161918,0.017,0.004,0.042,0.015,0.011,0.017,71
WATCH,1642571161928,1642571161928,4,1642571161928,-0.007,0.025,0.056,-0.005,0.013,0.026,71
WATCH,1642571161938,1642571161938,4,1642571161938,-0.107,0.118,0.010,-0.028,-0.007,0.036,71
WATCH,1642571161948,1642571161948,4,1642571161948,-0.161,0.109,0.012,-0.033,0.023,0.071,71
WATCH,1642571161958,1642571161958,4,1642571161958,-0.195,0.149,-0.011,-0.048,-0.001,0.080,71
WATCH,1642571161968,1642571161968,4,1642571161968,-0.289,0.174,-0.082,-0.053,-0.019,0.068,71
WATCH,1642571161978,1642571161978,4,1642571161978,-0.378,0.177,-0.105,-0.055,-0.001,0.105,71
WATCH,1642571161988,1642571161988,4,1642571161988,-0.492,0.187,-0.149,-0.077,-0.022,0.112,71
WATCH,1642571161998,1642571161998,4,1642571161998,-0.605,0.212,-0.216,-0.080,-0.037,0.097,71
WATCH,1642571162008,1642571162008,4,1642571162008,-0.599,0.137,-0.262,-0.038,-0.046,0.085,71
WATCH,1642571162017,1642571162017,4,1642571162017,-0.704,0.067,-0.305,-0.033,-0.014,0.107,71
WATCH,1642571162028,1642571162028,4,1642571162028,-0.921,0.092,-0.344,-0.026,0.010,0.155,71
WATCH,1642571162038,1642571162038,4,1642571162038,-1.040,0.089,-0.291,-0.029,0.026,0.182,71
WATCH,1642571162048,1642571162048,4,1642571162048,-1.159,0.115,-0.264,-0.027,0.007,0.167,71
WATCH,1642571162058,1642571162058,4,1642571162058,-1.431,0.203,-0.270,-0.012,0.022,0.161,71
WATCH,1642571162067,1642571162067,4,1642571162067,-1.619,0.154,-0.228,0.057,0.033,0.131,71
WATCH,1642571162077,1642571162077,4,1642571162077,-1.701,-0.039,-0.156,0.125,0.030,0.126,71
WATCH,1642571162088,1642571162088,4,1642571162088,-1.960,-0.146,-0.090,0.161,0.042,0.074,71
WATCH,1642571162097,1642571162097,4,1642571162097,-2.184,-0.313,0.082,0.235,0.031,0.037,71
WATCH,1642571162107,1642571162107,4,1642571162107,-2.325,-0.478,0.289,0.279,0.030,0.001,71
WATCH,1642571162118,1642571162118,4,1642571162118,-2.444,-0.389,0.460,0.260,0.068,-0.049,71
WATCH,1642571162127,1642571162127,4,1642571162127,-2.242,-0.375,0.661,0.215,0.094,-0.123,71
WATCH,1642571162137,1642571162137,4,1642571162137,-1.950,-0.300,0.789,0.137,0.101,-0.124,71
WATCH,1642571162147,1642571162147,4,1642571162147,-2.013,-0.182,0.820,0.059,0.034,-0.112,71
WATCH,1642571162157,1642571162157,4,1642571162157,-2.092,-0.171,0.754,0.035,-0.050,-0.052,71
WATCH,1642571162167,1642571162167,4,1642571162167,-2.380,-0.159,0.700,-0.004,-0.042,0.037,71
WATCH,1642571162177,1642571162177,4,1642571162177,-2.326,-0.001,0.519,-0.042,-0.020,-0.012,71
WATCH,1642571162186,1642571162186,4,1642571162186,-1.889,-0.249,0.509,-0.005,0.018,-0.099,71
WATCH,1642571162197,1642571162197,4,1642571162197,-0.410,-1.945,-0.453,-0.151,0.184,-0.301,71
WATCH,1642571162207,1642571162207,4,1642571162207,-1.216,-1.790,0.012,0.016,-0.203,0.039,71
WATCH,1642571162217,1642571162217,4,1642571162217,-0.764,-1.175,0.032,-0.032,0.083,-0.111,71
WATCH,1642571162226,1642571162226,4,1642571162226,-0.727,-0.818,0.178,0.037,0.026,-0.027,71
