DeviceName,PTPTime,UnixTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADC,DeviceName(Current)
DEVICE,1642571549199,1642571549037,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549231,1642571549069,795,79,0,0,36162,0,DKU006#
DEVICE,1642571549263,1642571549101,784,78,0,0,36162,0,DKU006#
DEVICE,1642571549295,1642571549133,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549327,1642571549165,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549359,1642571549197,790,79,0,0,36162,0,DKU006#
DEVICE,1642571549391,1642571549229,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549424,1642571549262,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549455,1642571549293,795,79,0,0,36162,0,DKU006#
DEVICE,1642571549487,1642571549325,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549519,1642571549357,801,80,0,0,36162,0,DKU006#
DEVICE,1642571549551,1642571549389,787,78,0,0,36162,0,DKU006#
DEVICE,1642571549583,1642571549421,806,80,0,0,36162,0,DKU006#
DEVICE,1642571549615,1642571549453,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549647,1642571549485,792,79,0,0,36162,0,DKU006#
DEVICE,1642571549679,1642571549517,803,80,0,0,36162,0,DKU006#
DEVICE,1642571549711,1642571549549,798,79,0,0,36162,0,DKU006#
DEVICE,1642571549743,1642571549581,796,79,0,0,36162,0,DKU006#
DEVICE,1642571549774,1642571549612,804,80,0,0,36162,0,DKU006#
DEVICE,1642571549823,1642571549661,809,80,0,0,36181,0,DKU006#
DEVICE,1642571549839,1642571549677,801,80,0,0,36181,0,DKU006#
DEVICE,1642571549871,1642571549709,813,81,0,0,36181,0,DKU006#
DEVICE,1642571549903,1642571549741,803,80,0,0,36181,0,DKU006#
DEVICE,1642571549934,1642571549772,793,79,0,0,36181,0,DKU006#
DEVICE,1642571549967,1642571549805,791,79,0,0,36181,0,DKU006#
DEVICE,1642571549998,1642571549836,805,80,0,0,36181,0,DKU006#
DEVICE,1642571550030,1642571549868,796,79,0,0,36181,0,DKU006#
DEVICE,1642571550062,1642571549900,792,79,0,0,36181,0,DKU006#
DEVICE,1642571550094,1642571549932,800,80,0,0,36181,0,DKU006#
DEVICE,1642571550126,1642571549964,813,81,0,0,36181,0,DKU006#
DEVICE,1642571550158,1642571549996,793,79,0,0,36181,0,DKU006#
DEVICE,1642571550190,1642571550028,799,79,0,0,36181,0,DKU006#
DEVICE,1642571550223,1642571550061,809,80,0,0,36181,0,DKU006#
DEVICE,1642571550255,1642571550093,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550287,1642571550125,810,81,0,0,36181,0,DKU006#
DEVICE,1642571550318,1642571550156,804,80,0,0,36181,0,DKU006#
DEVICE,1642571550351,1642571550189,807,80,0,0,36181,0,DKU006#
DEVICE,1642571550382,1642571550220,817,81,0,0,36181,0,DKU006#
DEVICE,1642571550414,1642571550252,789,78,0,0,36181,0,DKU006#
DEVICE,1642571550446,1642571550284,809,80,0,0,36181,0,DKU006#
DEVICE,1642571550478,1642571550316,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550510,1642571550348,799,79,0,0,36181,0,DKU006#
DEVICE,1642571550542,1642571550380,793,79,0,0,36181,0,DKU006#
DEVICE,1642571550574,1642571550412,787,78,0,0,36181,0,DKU006#
DEVICE,1642571550606,1642571550444,800,80,0,0,36181,0,DKU006#
DEVICE,1642571550638,1642571550476,817,81,0,0,36181,0,DKU006#
DEVICE,1642571550670,1642571550508,811,81,0,0,36181,0,DKU006#
DEVICE,1642571550702,1642571550540,798,79,0,0,36181,0,DKU006#
DEVICE,1642571550734,1642571550572,801,80,0,0,36181,0,DKU006#
DEVICE,1642571550766,1642571550604,807,80,0,0,36181,0,DKU006#
DEVICE,1642571550798,1642571550636,792,79,0,0,36181,0,DKU006#
DEVICE,1642571550849,1642571550687,805,80,0,0,36168,0,DKU006#
DEVICE,1642571550862,1642571550700,817,81,0,0,36168,0,DKU006#
DEVICE,1642571550894,1642571550732,816,81,0,0,36168,0,DKU006#
DEVICE,1642571550926,1642571550764,808,80,0,0,36168,0,DKU006#
DEVICE,1642571550958,1642571550796,812,81,0,0,36168,0,DKU006#
DEVICE,1642571550990,1642571550828,794,79,0,0,36168,0,DKU006#
DEVICE,1642571551023,1642571550861,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551054,1642571550892,808,80,0,0,36168,0,DKU006#
DEVICE,1642571551086,1642571550924,797,79,0,0,36168,0,DKU006#
DEVICE,1642571551118,1642571550956,797,79,0,0,36168,0,DKU006#
DEVICE,1642571551150,1642571550988,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551182,1642571551020,799,79,0,0,36168,0,DKU006#
DEVICE,1642571551214,1642571551052,796,79,0,0,36168,0,DKU006#
DEVICE,1642571551246,1642571551084,791,79,0,0,36168,0,DKU006#
DEVICE,1642571551278,1642571551116,788,78,0,0,36168,0,DKU006#
DEVICE,1642571551309,1642571551147,801,80,0,0,36168,0,DKU006#
DEVICE,1642571551342,1642571551180,812,81,0,0,36168,0,DKU006#
DEVICE,1642571551374,1642571551212,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551406,1642571551244,808,80,0,0,36168,0,DKU006#
DEVICE,1642571551438,1642571551276,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551470,1642571551308,803,80,0,0,36168,0,DKU006#
DEVICE,1642571551502,1642571551340,798,79,0,0,36168,0,DKU006#
DEVICE,1642571551534,1642571551372,802,80,0,0,36168,0,DKU006#
DEVICE,1642571551566,1642571551404,813,81,0,0,36168,0,DKU006#
DEVICE,1642571551598,1642571551436,801,80,0,0,36168,0,DKU006#
DEVICE,1642571551630,1642571551468,792,79,0,0,36168,0,DKU006#
DEVICE,1642571551662,1642571551500,792,79,0,0,36168,0,DKU006#
DEVICE,1642571551694,1642571551532,787,78,0,0,36168,0,DKU006#
DEVICE,1642571551725,1642571551563,790,79,0,0,36168,0,DKU006#
DEVICE,1642571551757,1642571551595,770,77,0,0,36168,0,DKU006#
DEVICE,1642571551789,1642571551627,767,76,0,0,36168,0,DKU006#
DEVICE,1642571551823,1642571551661,767,76,0,0,36168,0,DKU006#
DEVICE,1642571551855,1642571551693,743,74,0,0,36168,0,DKU006#
DEVICE,1642571551887,1642571551725,756,75,0,0,36168,0,DKU006#
DEVICE,1642571551917,1642571551755,753,75,0,0,36168,0,DKU006#
DEVICE,1642571551950,1642571551788,742,74,0,0,36168,0,DKU006#
DEVICE,1642571551981,1642571551819,737,73,5,0,36168,0,DKU006#
DEVICE,1642571552013,1642571551851,723,72,5,0,36168,0,DKU006#
DEVICE,1642571552045,1642571551883,706,70,5,0,36168,0,DKU006#
DEVICE,1642571552077,1642571551915,714,71,5,0,36168,0,DKU006#
DEVICE,1642571552109,1642571551947,701,70,5,0,36168,0,DKU006#
DEVICE,1642571552141,1642571551979,686,68,5,0,36168,0,DKU006#
DEVICE,1642571552174,1642571552012,685,68,5,0,36168,0,DKU006#
DEVICE,1642571552206,1642571552044,669,66,5,0,36168,0,DKU006#
DEVICE,1642571552238,1642571552076,657,65,5,0,36168,0,DKU006#
DEVICE,1642571552270,1642571552108,649,64,5,0,36168,0,DKU006#
DEVICE,1642571552301,1642571552139,644,64,5,0,36168,0,DKU006#
DEVICE,1642571552333,1642571552171,641,64,5,0,36168,0,DKU006#
DEVICE,1642571552366,1642571552204,633,63,5,0,36168,0,DKU006#
DEVICE,1642571552398,1642571552236,623,62,5,0,36168,0,DKU006#
DEVICE,1642571552429,1642571552267,622,62,5,0,36168,0,DKU006#
DEVICE,1642571552461,1642571552299,621,62,5,0,36168,0,DKU006#
DEVICE,1642571552493,1642571552331,627,62,5,0,36168,0,DKU006#
DEVICE,1642571552525,1642571552363,607,60,5,0,36168,0,DKU006#
DEVICE,1642571552557,1642571552395,608,60,5,0,36168,0,DKU006#
DEVICE,1642571552589,1642571552427,610,61,5,0,36168,0,DKU006#
DEVICE,1642571552621,1642571552459,620,62,5,0,36168,0,DKU006#
DEVICE,1642571552653,1642571552491,605,60,5,0,36168,0,DKU006#
DEVICE,1642571552685,1642571552523,618,61,5,0,36168,0,DKU006#
DEVICE,1642571552717,1642571552555,614,61,5,0,36168,0,DKU006#
DEVICE,1642571552749,1642571552587,614,61,5,0,36168,0,DKU006#
DEVICE,1642571552781,1642571552619,615,61,5,0,36168,0,DKU006#
DEVICE,1642571552813,1642571552651,608,60,5,0,36168,0,DKU006#
DEVICE,1642571552845,1642571552683,608,60,5,0,36168,0,DKU006#
DEVICE,1642571552877,1642571552715,611,61,5,0,36168,0,DKU006#
DEVICE,1642571552909,1642571552747,608,60,5,0,36168,0,DKU006#
DEVICE,1642571552941,1642571552779,618,61,5,0,36168,0,DKU006#
DEVICE,1642571552973,1642571552811,612,61,5,0,36168,0,DKU006#
DEVICE,1642571553005,1642571552843,613,61,5,0,36168,0,DKU006#
DEVICE,1642571553037,1642571552875,611,61,5,0,36168,0,DKU006#
DEVICE,1642571553069,1642571552907,618,61,5,0,36168,0,DKU006#
DEVICE,1642571553101,1642571552939,613,61,5,0,36168,0,DKU006#
DEVICE,1642571553133,1642571552971,608,60,5,0,36168,0,DKU006#
DEVICE,1642571553165,1642571553003,617,61,5,0,36168,0,DKU006#
DEVICE,1642571553197,1642571553035,603,60,5,0,36168,0,DKU006#
DEVICE,1642571553229,1642571553067,618,61,5,0,36168,0,DKU006#
DEVICE,1642571553261,1642571553099,618,61,5,0,36168,0,DKU006#
DEVICE,1642571553293,1642571553131,622,62,5,0,36168,0,DKU006#
DEVICE,1642571553325,1642571553163,633,63,5,0,36168,0,DKU006#
DEVICE,1642571553357,1642571553195,640,64,5,0,36168,0,DKU006#
DEVICE,1642571553389,1642571553227,654,65,5,0,36168,0,DKU006#
DEVICE,1642571553421,1642571553259,636,63,5,0,36168,0,DKU006#
DEVICE,1642571553453,1642571553291,650,65,5,0,36168,0,DKU006#
DEVICE,1642571553485,1642571553323,648,64,5,0,36168,0,DKU006#
DEVICE,1642571553517,1642571553355,663,66,5,0,36168,0,DKU006#
DEVICE,1642571553549,1642571553387,661,66,5,0,36168,0,DKU006#
DEVICE,1642571553581,1642571553419,675,67,5,0,36168,0,DKU006#
DEVICE,1642571553613,1642571553451,659,65,5,0,36168,0,DKU006#
DEVICE,1642571553645,1642571553483,689,68,5,0,36168,0,DKU006#
DEVICE,1642571553677,1642571553515,686,68,5,0,36168,0,DKU006#
DEVICE,1642571553709,1642571553547,685,68,5,0,36168,0,DKU006#
DEVICE,1642571553740,1642571553578,695,69,5,0,36168,0,DKU006#
DEVICE,1642571553773,1642571553611,699,69,5,0,36168,0,DKU006#
DEVICE,1642571553805,1642571553643,708,70,5,0,36168,0,DKU006#
DEVICE,1642571553836,1642571553674,711,71,5,0,36168,0,DKU006#
DEVICE,1642571553869,1642571553707,723,72,5,0,36168,0,DKU006#
DEVICE,1642571553901,1642571553739,729,72,5,0,36168,0,DKU006#
DEVICE,1642571553933,1642571553771,730,73,5,0,36168,0,DKU006#
DEVICE,1642571553965,1642571553803,736,73,5,0,36168,0,DKU006#
DEVICE,1642571553997,1642571553835,741,74,5,0,36168,0,DKU006#
DEVICE,1642571554028,1642571553866,733,73,5,0,36168,0,DKU006#
DEVICE,1642571554060,1642571553898,731,73,5,0,36168,0,DKU006#
DEVICE,1642571554093,1642571553931,743,74,5,0,36168,0,DKU006#
DEVICE,1642571554124,1642571553962,747,74,5,0,36168,0,DKU006#
DEVICE,1642571554157,1642571553995,737,73,5,0,36168,0,DKU006#
DEVICE,1642571554189,1642571554027,755,75,0,0,36168,0,DKU006#
DEVICE,1642571554221,1642571554059,763,76,0,0,36168,0,DKU006#
DEVICE,1642571554253,1642571554091,762,76,0,0,36168,0,DKU006#
DEVICE,1642571554284,1642571554122,765,76,0,0,36168,0,DKU006#
DEVICE,1642571554316,1642571554154,763,76,0,0,36168,0,DKU006#
DEVICE,1642571554348,1642571554186,766,76,0,0,36168,0,DKU006#
DEVICE,1642571554380,1642571554218,773,77,0,0,36168,0,DKU006#
DEVICE,1642571554412,1642571554250,762,76,0,0,36168,0,DKU006#
DEVICE,1642571554444,1642571554282,779,77,0,0,36168,0,DKU006#
DEVICE,1642571554476,1642571554314,763,76,0,0,36168,0,DKU006#
DEVICE,1642571554509,1642571554347,779,77,0,0,36168,0,DKU006#
