DEVICE,1642476529763,1642476529586,57.5,10,0,0
DEVICE,1642476529795,1642476529618,55.5,10,0,0
DEVICE,1642476529827,1642476529650,56.5,10,0,0
DEVICE,1642476529843,1642476529666,57.5,10,0,0
DEVICE,1642476529875,1642476529698,56.5,10,0,0
DEVICE,1642476529907,1642476529730,56.5,10,0,0
DEVICE,1642476529939,1642476529762,57.5,10,0,0
DEVICE,1642476529971,1642476529794,54.5,10,0,0
DEVICE,1642476530004,1642476529827,53.5,10,0,0
DEVICE,1642476530035,1642476529858,59.5,10,0,0
DEVICE,1642476530067,1642476529890,56.5,10,0,0
DEVICE,1642476530100,1642476529923,55.5,10,0,0
DEVICE,1642476530131,1642476529954,55.5,10,0,0
DEVICE,1642476530163,1642476529986,56.5,10,0,0
DEVICE,1642476530195,1642476530018,53.5,10,0,0
DEVICE,1642476530227,1642476530050,54.5,10,0,0
DEVICE,1642476530259,1642476530082,52.5,10,0,0
DEVICE,1642476530291,1642476530114,54.5,10,0,0
DEVICE,1642476530323,1642476530146,56.5,10,0,0
DEVICE,1642476530355,1642476530178,56.5,10,0,0
DEVICE,1642476530387,1642476530210,54.5,10,0,0
DEVICE,1642476530419,1642476530242,55.5,10,0,0
DEVICE,1642476530451,1642476530274,56.5,10,0,0
DEVICE,1642476530483,1642476530306,57.5,10,0,0
DEVICE,1642476530515,1642476530338,55.5,10,0,0
DEVICE,1642476530547,1642476530370,54.5,10,0,0
DEVICE,1642476530579,1642476530402,56.5,10,0,0
DEVICE,1642476530611,1642476530434,58.5,10,0,0
DEVICE,1642476530643,1642476530466,55.5,10,0,0
DEVICE,1642476530675,1642476530498,56.5,10,0,0
DEVICE,1642476530707,1642476530530,55.5,10,0,0
DEVICE,1642476530739,1642476530562,54.5,10,0,0
DEVICE,1642476530771,1642476530594,53.5,10,0,0
DEVICE,1642476530803,1642476530626,57.5,10,0,0
DEVICE,1642476530835,1642476530658,57.5,10,0,0
DEVICE,1642476530867,1642476530690,54.5,10,0,0
DEVICE,1642476530899,1642476530722,54.5,10,0,0
DEVICE,1642476530931,1642476530754,55.5,10,0,0
DEVICE,1642476530963,1642476530786,55.5,10,0,0
DEVICE,1642476530995,1642476530818,56.5,10,0,0
