Unixtime,Distancemm,Distancecm,Weight,Count,DistanceADC,WeightADC,
1638756908832,823,82,5,2,0,0
1638756908864,826,82,5,2,0,0
1638756908896,826,82,5,2,0,0
1638756908928,826,82,5,2,0,0
1638756908959,819,81,5,2,0,0
1638756908991,817,81,5,2,0,0
1638756909023,821,82,5,2,0,0
1638756909055,831,83,5,2,0,0
1638756909088,835,83,5,2,0,0
1638756909120,823,82,5,2,0,0
1638756909151,823,82,5,2,0,0
1638756909183,823,82,5,2,0,0
1638756909215,831,83,5,2,0,0
1638756909247,827,82,5,2,0,0
1638756909280,832,83,5,2,0,0
1638756909311,828,82,5,2,0,0
1638756909343,820,82,5,2,0,0
1638756909375,820,82,5,2,0,0
1638756909408,838,83,5,2,0,0
1638756909439,822,82,5,2,0,0
1638756909471,840,84,5,2,0,0
1638756909503,834,83,5,2,0,0
1638756909535,833,83,5,2,0,0
1638756909568,839,83,5,2,0,0
1638756909599,847,84,5,2,0,0
1638756909631,847,84,5,2,0,0
1638756909663,824,82,5,2,0,0
1638756909695,834,83,5,2,0,0
1638756909727,827,82,5,2,0,0
1638756909759,840,84,5,2,0,0
1638756909791,833,83,5,2,0,0
1638756909824,830,83,5,2,0,0
1638756909855,830,83,5,2,0,0
1638756909887,835,83,5,2,0,0
1638756909919,834,83,5,2,0,0
1638756909935,828,82,5,2,0,0
1638756909967,827,82,5,2,0,0
1638756909999,830,83,5,2,0,0
1638756910030,825,82,5,2,0,0
1638756910063,824,82,5,2,0,0
1638756910095,828,82,5,2,0,0
1638756910127,832,83,5,2,0,0
1638756910159,840,84,5,2,0,0
1638756910191,828,82,5,2,0,0
1638756910223,816,81,5,2,0,0
