Device,PTPTime,UnixTime,Protocool,CurrentDeviceTime,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
AIRPOT,1648115681153,1648115681812,4,0,-0.001,-0.316,-0.949,-0.008,0.049,-0.012
AIRPOT,1648115681204,1648115681863,4,0,-0.002,-0.317,-0.948,0.006,0.135,-0.017
AIRPOT,1648115681230,1648115681889,4,0,0.003,-0.303,-0.953,0.030,0.092,-0.047
AIRPOT,1648115681286,1648115681945,4,0,0.009,-0.298,-0.955,0.011,0.022,-0.003
AIRPOT,1648115681307,1648115681966,4,0,0.015,-0.293,-0.956,-0.000,-0.061,0.021
AIRPOT,1648115681365,1648115682024,4,0,0.020,-0.291,-0.957,-0.008,-0.138,0.043
AIRPOT,1648115681382,1648115682041,4,0,0.022,-0.291,-0.956,0.005,-0.106,0.050
AIRPOT,1648115681442,1648115682101,4,0,0.021,-0.291,-0.956,-0.012,-0.040,0.053
AIRPOT,1648115681469,1648115682128,4,0,0.019,-0.288,-0.957,0.014,-0.018,-0.001
AIRPOT,1648115681530,1648115682189,4,0,0.014,-0.282,-0.959,-0.006,-0.024,0.028
AIRPOT,1648115681551,1648115682210,4,0,0.010,-0.278,-0.961,-0.011,-0.003,-0.006
AIRPOT,1648115681601,1648115682260,4,0,0.007,-0.274,-0.962,0.008,-0.018,0.006
AIRPOT,1648115681632,1648115682291,4,0,0.004,-0.268,-0.964,0.021,-0.010,-0.014
AIRPOT,1648115681681,1648115682340,4,0,-0.000,-0.260,-0.966,0.027,0.010,-0.000
AIRPOT,1648115681705,1648115682364,4,0,-0.008,-0.252,-0.968,-0.029,0.028,-0.018
AIRPOT,1648115681765,1648115682424,4,0,-0.015,-0.245,-0.969,-0.018,0.017,0.001
AIRPOT,1648115681841,1648115682500,4,0,-0.021,-0.240,-0.971,0.013,-0.011,-0.029
AIRPOT,1648115681842,1648115682501,4,0,-0.022,-0.236,-0.972,-0.023,-0.013,-0.023
AIRPOT,1648115681870,1648115682529,4,0,-0.021,-0.232,-0.972,-0.024,0.025,-0.008
AIRPOT,1648115681924,1648115682583,4,0,-0.019,-0.230,-0.973,-0.039,0.009,-0.006
AIRPOT,1648115681951,1648115682610,4,0,-0.018,-0.231,-0.973,-0.025,0.008,-0.017
AIRPOT,1648115682006,1648115682665,4,0,-0.014,-0.241,-0.970,-0.016,-0.019,-0.016
AIRPOT,1648115682039,1648115682698,4,0,-0.009,-0.258,-0.966,0.006,0.027,-0.005
AIRPOT,1648115682083,1648115682742,4,0,-0.003,-0.274,-0.962,0.007,-0.016,0.021
AIRPOT,1648115682109,1648115682768,4,0,0.003,-0.290,-0.957,-0.001,-0.003,0.019
AIRPOT,1648115682160,1648115682819,4,0,0.006,-0.304,-0.953,0.009,-0.002,-0.019
AIRPOT,1648115682201,1648115682860,4,0,0.011,-0.319,-0.948,-0.007,-0.020,0.003
AIRPOT,1648115682240,1648115682899,4,0,0.016,-0.334,-0.942,-0.021,-0.045,0.017
AIRPOT,1648115682275,1648115682934,4,0,0.020,-0.347,-0.938,-0.013,-0.022,0.012
AIRPOT,1648115682322,1648115682981,4,0,0.026,-0.356,-0.934,-0.004,-0.024,0.018
AIRPOT,1648115682352,1648115683011,4,0,0.030,-0.361,-0.932,-0.006,-0.029,0.035
AIRPOT,1648115682404,1648115683063,4,0,0.032,-0.364,-0.931,0.014,-0.020,0.018
AIRPOT,1648115682432,1648115683091,4,0,0.034,-0.362,-0.932,0.018,-0.005,0.007
AIRPOT,1648115682486,1648115683145,4,0,0.040,-0.351,-0.935,0.021,-0.009,0.010
AIRPOT,1648115682513,1648115683172,4,0,0.051,-0.335,-0.941,0.014,-0.020,0.009
AIRPOT,1648115682674,1648115683333,4,0,0.098,-0.226,-0.969,-0.006,-0.050,0.027
AIRPOT,1648115682728,1648115683387,4,0,0.107,-0.201,-0.974,-0.006,0.029,0.007
AIRPOT,1648115682569,1648115683228,4,0,0.065,-0.314,-0.947,-0.011,0.016,0.016
AIRPOT,1648115682591,1648115683250,4,0,0.078,-0.284,-0.956,-0.013,-0.026,-0.004
AIRPOT,1648115682643,1648115683302,4,0,0.090,-0.252,-0.963,-0.040,-0.050,0.022
AIRPOT,1648115682825,1648115683484,4,0,0.141,-0.139,-0.980,0.011,0.015,0.021
AIRPOT,1648115682802,1648115683461,4,0,0.129,-0.157,-0.979,0.025,-0.000,-0.012
AIRPOT,1648115682915,1648115683574,4,0,0.159,-0.112,-0.981,0.008,0.018,-0.036
AIRPOT,1648115682966,1648115683625,4,0,0.176,-0.096,-0.980,-0.022,-0.016,0.041
AIRPOT,1648115682994,1648115683653,4,0,0.193,-0.075,-0.978,-0.011,-0.078,-0.045
AIRPOT,1648115683043,1648115683702,4,0,0.218,-0.049,-0.975,-0.052,-0.067,0.064
AIRPOT,1648115683070,1648115683729,4,0,0.242,-0.013,-0.970,-0.045,-0.088,0.056
AIRPOT,1648115683125,1648115683784,4,0,0.266,0.035,-0.963,-0.059,-0.057,0.013
AIRPOT,1648115683151,1648115683810,4,0,0.293,0.091,-0.952,-0.007,-0.137,0.061
AIRPOT,1648115683177,1648115683836,4,0,0.315,0.146,-0.938,-0.071,0.016,0.063
AIRPOT,1648115683227,1648115683886,4,0,0.333,0.203,-0.921,-0.028,-0.047,-0.041
AIRPOT,1648115683282,1648115683941,4,0,0.356,0.260,-0.898,-0.068,-0.096,-0.019
AIRPOT,1648115683309,1648115683968,4,0,0.375,0.307,-0.875,-0.074,-0.083,0.021
AIRPOT,1648115683338,1648115683997,4,0,0.385,0.338,-0.859,-0.072,-0.036,-0.047
AIRPOT,1648115683391,1648115684050,4,0,0.392,0.348,-0.852,-0.090,-0.059,-0.073
AIRPOT,1648115683442,1648115684101,4,0,0.397,0.331,-0.856,-0.125,0.008,-0.110
AIRPOT,1648115683475,1648115684134,4,0,0.406,0.293,-0.866,-0.143,-0.118,-0.189
AIRPOT,1648115683521,1648115684180,4,0,0.419,0.251,-0.873,-0.217,-0.034,-0.030
AIRPOT,1648115683540,1648115684199,4,0,0.431,0.207,-0.878,-0.285,-0.125,-0.074
AIRPOT,1648115683602,1648115684261,4,0,0.442,0.165,-0.882,-0.273,-0.183,-0.027
AIRPOT,1648115683629,1648115684288,4,0,0.449,0.126,-0.885,-0.235,-0.145,-0.013
AIRPOT,1648115683655,1648115684314,4,0,0.452,0.087,-0.888,-0.181,-0.019,0.072
AIRPOT,1648115683704,1648115684363,4,0,0.449,0.044,-0.892,-0.081,-0.040,0.092
AIRPOT,1648115683762,1648115684421,4,0,0.439,0.006,-0.899,0.164,-0.061,-0.019
AIRPOT,1648115683777,1648115684436,4,0,0.437,-0.026,-0.899,0.341,-0.006,0.160
AIRPOT,1648115683842,1648115684501,4,0,0.430,-0.050,-0.901,0.485,-0.024,-0.107
AIRPOT,1648115683871,1648115684530,4,0,0.432,-0.060,-0.900,0.555,0.002,-0.222
AIRPOT,1648115683896,1648115684555,4,0,0.435,-0.061,-0.898,0.600,-0.077,-0.329
AIRPOT,1648115683956,1648115684615,4,0,0.436,-0.050,-0.899,0.549,-0.049,-0.330
AIRPOT,1648115684001,1648115684660,4,0,0.426,-0.032,-0.904,0.459,-0.035,-0.243
AIRPOT,1648115684015,1648115684674,4,0,0.399,-0.017,-0.917,0.402,-0.100,-0.267
AIRPOT,1648115684082,1648115684741,4,0,0.367,-0.004,-0.930,0.305,-0.067,-0.219
AIRPOT,1648115684095,1648115684754,4,0,0.342,0.011,-0.940,0.242,-0.122,-0.174
AIRPOT,1648115684160,1648115684819,4,0,0.325,0.031,-0.945,0.176,-0.095,-0.035
AIRPOT,1648115684175,1648115684834,4,0,0.305,0.056,-0.951,0.162,0.004,0.058
AIRPOT,1648115684246,1648115684905,4,0,0.293,0.082,-0.953,0.072,0.100,0.252
AIRPOT,1648115684256,1648115684915,4,0,0.281,0.106,-0.954,-0.038,0.141,0.301
AIRPOT,1648115684321,1648115684980,4,0,0.266,0.128,-0.955,-0.115,0.166,0.292
AIRPOT,1648115684363,1648115685022,4,0,0.255,0.143,-0.956,-0.182,0.100,0.279
AIRPOT,1648115684406,1648115685065,4,0,0.249,0.147,-0.957,-0.196,0.026,0.284
AIRPOT,1648115684434,1648115685093,4,0,0.239,0.150,-0.959,-0.185,0.025,0.237
AIRPOT,1648115684482,1648115685141,4,0,0.228,0.156,-0.961,-0.165,-0.013,0.217
AIRPOT,1648115684497,1648115685156,4,0,0.218,0.165,-0.962,-0.181,-0.020,0.176
