DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655362229141,1655362229143,4,1655362229143,42,4,5,0,0,0
DEVICE,1655362229173,1655362229175,4,1655362229175,43,4,5,0,0,0
DEVICE,1655362229205,1655362229207,4,1655362229207,43,4,5,0,0,0
DEVICE,1655362229237,1655362229239,4,1655362229239,43,4,5,0,0,0
DEVICE,1655362229269,1655362229271,4,1655362229271,42,4,5,0,0,0
DEVICE,1655362229301,1655362229303,4,1655362229303,41,4,5,0,0,0
DEVICE,1655362229333,1655362229335,4,1655362229335,42,4,5,0,0,0
DEVICE,1655362229365,1655362229367,4,1655362229367,42,4,5,0,0,0
DEVICE,1655362229397,1655362229399,4,1655362229399,42,4,5,0,0,0
DEVICE,1655362229429,1655362229431,4,1655362229431,41,4,5,0,0,0
DEVICE,1655362229461,1655362229463,4,1655362229463,41,4,5,0,0,0
DEVICE,1655362229493,1655362229495,4,1655362229495,44,4,5,0,0,0
DEVICE,1655362229525,1655362229527,4,1655362229527,44,4,5,0,0,0
DEVICE,1655362229557,1655362229559,4,1655362229559,42,4,5,0,0,0
DEVICE,1655362229589,1655362229591,4,1655362229591,41,4,5,0,0,0
DEVICE,1655362229620,1655362229622,4,1655362229622,42,4,5,0,0,0
DEVICE,1655362229653,1655362229655,4,1655362229655,42,4,5,0,0,0
DEVICE,1655362229685,1655362229687,4,1655362229687,43,4,5,0,0,0
DEVICE,1655362229717,1655362229719,4,1655362229719,42,4,5,0,0,0
DEVICE,1655362229748,1655362229750,4,1655362229750,43,4,5,0,0,0
DEVICE,1655362229780,1655362229782,4,1655362229782,42,4,5,0,0,0
DEVICE,1655362229813,1655362229815,4,1655362229815,41,4,5,0,0,0
DEVICE,1655362229844,1655362229846,4,1655362229846,42,4,5,0,0,0
DEVICE,1655362229877,1655362229879,4,1655362229879,44,4,5,0,0,0
DEVICE,1655362229909,1655362229911,4,1655362229911,40,4,5,0,0,0
DEVICE,1655362229941,1655362229943,4,1655362229943,44,4,5,0,0,0
DEVICE,1655362229972,1655362229974,4,1655362229974,43,4,5,0,0,0
DEVICE,1655362230004,1655362230006,4,1655362230006,41,4,5,0,0,0
DEVICE,1655362230037,1655362230039,4,1655362230039,45,4,5,0,0,0
DEVICE,1655362230069,1655362230071,4,1655362230071,43,4,5,0,0,0
DEVICE,1655362230100,1655362230102,4,1655362230102,42,4,5,0,0,0
DEVICE,1655362230133,1655362230135,4,1655362230135,43,4,5,0,0,0
DEVICE,1655362230165,1655362230167,4,1655362230167,43,4,5,0,0,0
DEVICE,1655362230180,1655362230182,4,1655362230182,44,4,5,0,0,0
DEVICE,1655362230212,1655362230214,4,1655362230214,43,4,5,0,0,0
DEVICE,1655362230244,1655362230246,4,1655362230246,43,4,5,0,0,0
DEVICE,1655362230277,1655362230279,4,1655362230279,41,4,5,0,0,0
DEVICE,1655362230309,1655362230311,4,1655362230311,42,4,5,0,0,0
DEVICE,1655362230340,1655362230342,4,1655362230342,44,4,5,0,0,0
DEVICE,1655362230373,1655362230375,4,1655362230375,41,4,5,0,0,0
DEVICE,1655362230404,1655362230406,4,1655362230406,43,4,5,0,0,0
DEVICE,1655362230436,1655362230438,4,1655362230438,41,4,5,0,0,0
DEVICE,1655362230469,1655362230471,4,1655362230471,44,4,5,0,0,0
DEVICE,1655362230500,1655362230502,4,1655362230502,40,4,5,0,0,0
DEVICE,1655362230533,1655362230535,4,1655362230535,44,4,5,0,0,0
