DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655363178062,1655363178065,4,1655363178065,44,4,5,0,0,0
DEVICE,1655363178094,1655363178097,4,1655363178097,45,4,5,0,0,0
DEVICE,1655363178125,1655363178128,4,1655363178128,42,4,5,0,0,0
DEVICE,1655363178158,1655363178161,4,1655363178161,44,4,5,0,0,0
DEVICE,1655363178190,1655363178193,4,1655363178193,42,4,5,0,0,0
DEVICE,1655363178222,1655363178225,4,1655363178225,45,4,5,0,0,0
DEVICE,1655363178253,1655363178256,4,1655363178256,40,4,5,0,0,0
DEVICE,1655363178286,1655363178289,4,1655363178289,44,4,5,0,0,0
DEVICE,1655363178318,1655363178321,4,1655363178321,42,4,5,0,0,0
DEVICE,1655363178350,1655363178353,4,1655363178353,44,4,5,0,0,0
DEVICE,1655363178381,1655363178384,4,1655363178384,44,4,5,0,0,0
DEVICE,1655363178414,1655363178417,4,1655363178417,44,4,5,0,0,0
DEVICE,1655363178445,1655363178448,4,1655363178448,43,4,5,0,0,0
DEVICE,1655363178478,1655363178481,4,1655363178481,43,4,5,0,0,0
DEVICE,1655363178509,1655363178512,4,1655363178512,45,4,5,0,0,0
DEVICE,1655363178542,1655363178545,4,1655363178545,42,4,5,0,0,0
DEVICE,1655363178574,1655363178577,4,1655363178577,43,4,5,0,0,0
DEVICE,1655363178606,1655363178609,4,1655363178609,42,4,5,0,0,0
DEVICE,1655363178638,1655363178641,4,1655363178641,44,4,5,0,0,0
DEVICE,1655363178669,1655363178672,4,1655363178672,43,4,5,0,0,0
DEVICE,1655363178701,1655363178704,4,1655363178704,42,4,5,0,0,0
DEVICE,1655363178734,1655363178737,4,1655363178737,42,4,5,0,0,0
DEVICE,1655363178765,1655363178768,4,1655363178768,42,4,5,0,0,0
DEVICE,1655363178797,1655363178800,4,1655363178800,45,4,5,0,0,0
DEVICE,1655363178829,1655363178832,4,1655363178832,44,4,5,0,0,0
DEVICE,1655363178861,1655363178864,4,1655363178864,43,4,5,0,0,0
DEVICE,1655363178893,1655363178896,4,1655363178896,42,4,5,0,0,0
DEVICE,1655363178925,1655363178928,4,1655363178928,45,4,5,0,0,0
DEVICE,1655363178957,1655363178960,4,1655363178960,43,4,5,0,0,0
DEVICE,1655363178990,1655363178993,4,1655363178993,42,4,5,0,0,0
DEVICE,1655363179022,1655363179025,4,1655363179025,41,4,5,0,0,0
DEVICE,1655363179054,1655363179057,4,1655363179057,43,4,5,0,0,0
DEVICE,1655363179085,1655363179088,4,1655363179088,43,4,5,0,0,0
DEVICE,1655363179118,1655363179121,4,1655363179121,43,4,5,0,0,0
DEVICE,1655363179149,1655363179152,4,1655363179152,43,4,5,0,0,0
DEVICE,1655363179181,1655363179184,4,1655363179184,43,4,5,0,0,0
DEVICE,1655363179213,1655363179216,4,1655363179216,45,4,5,0,0,0
DEVICE,1655363179245,1655363179248,4,1655363179248,42,4,5,0,0,0
DEVICE,1655363179277,1655363179280,4,1655363179280,42,4,5,0,0,0
DEVICE,1655363179294,1655363179297,4,1655363179297,45,4,5,0,0,0
DEVICE,1655363179325,1655363179328,4,1655363179328,43,4,5,0,0,0
DEVICE,1655363179357,1655363179360,4,1655363179360,43,4,5,0,0,0
DEVICE,1655363179389,1655363179392,4,1655363179392,47,4,5,0,0,0
DEVICE,1655363179421,1655363179424,4,1655363179424,43,4,5,0,0,0
DEVICE,1655363179453,1655363179456,4,1655363179456,45,4,5,0,0,0
DEVICE,1655363179485,1655363179488,4,1655363179488,43,4,5,0,0,0
DEVICE,1655363179517,1655363179520,4,1655363179520,45,4,5,0,0,0
DEVICE,1655363179549,1655363179552,4,1655363179552,43,4,5,0,0,0
DEVICE,1655363179581,1655363179584,4,1655363179584,47,4,5,0,0,0
DEVICE,1655363179613,1655363179616,4,1655363179616,44,4,5,0,0,0
DEVICE,1655363179645,1655363179648,4,1655363179648,40,4,5,0,0,0
DEVICE,1655363179677,1655363179680,4,1655363179680,44,4,5,0,0,0
DEVICE,1655363179708,1655363179711,4,1655363179711,42,4,5,0,0,0
DEVICE,1655363179740,1655363179743,4,1655363179743,45,4,5,0,0,0
DEVICE,1655363179772,1655363179775,4,1655363179775,44,4,5,0,0,0
DEVICE,1655363179805,1655363179808,4,1655363179808,43,4,5,0,0,0
DEVICE,1655363179837,1655363179840,4,1655363179840,45,4,5,0,0,0
DEVICE,1655363179869,1655363179872,4,1655363179872,43,4,5,0,0,0
DEVICE,1655363179901,1655363179904,4,1655363179904,41,4,5,0,0,0
DEVICE,1655363179933,1655363179936,4,1655363179936,44,4,5,0,0,0
DEVICE,1655363179965,1655363179968,4,1655363179968,41,4,5,0,0,0
DEVICE,1655363179997,1655363180000,4,1655363180000,45,4,5,0,0,0
DEVICE,1655363180029,1655363180032,4,1655363180032,43,4,5,0,0,0
DEVICE,1655363180061,1655363180064,4,1655363180064,43,4,5,0,0,0
DEVICE,1655363180092,1655363180095,4,1655363180095,44,4,5,0,0,0
DEVICE,1655363180125,1655363180128,4,1655363180128,46,4,5,0,0,0
